No.,Player Name,Country,Position,Age,Salary
72,Travis Boyd,us,F,29,1500000
3,Josh Brown,ca,D,29,1000000
67,Lawson Crouse,ca,F,25,3600000
26,Laurent Dauphin,ca,F,27,750000
36,Christian Fischer,us,F,25,1125875
29,Barrett Hayton,ca,F,22,1420000
39,Connor Ingram,ca,G,25,750000
44,Zack Kassian,ca,F,32,3500000
9,Clayton Keller,us,F,24,4500000
63,Matias Maccelli,fi,F,22,832500
44,Connor Mackey,us,D,26,750000
22,Jack McBain,ca,F,23,832500
90,J.J. Moser,ch,D,22,800000
2,Patrik Nemeth,se,D,30,2500000
38,Liam O'Brien,ca,F,28,750000
33,Aku Raty,fi,F,21,1000000
24,Brett Ritchie,ca,F,29,750000
8,Nick Schmaltz,us,F,26,4500000
4,Juuso Valimaki,fi,D,24,2000000
70,Karel Vejmelka,cz,G,26,2250000
