No.,Player Name,Country,Position,Age,Salary
41,Craig Anderson,us,G,41,"$1,500,000 "
78,Jacob Bryson,ca,D,25,"$1,800,000 "
38,Kale Clague,ca,D,24,"$750,000 "
31,Eric Comrie,ca,G,27,"$1,800,000 "
24,Dylan Cozens,ca,F,21,"$832,500 "
26,Rasmus Dahlin,se,D,22,"$5,800,000 "
28,Zemgus Girgensons,lv,F,29,"$2,400,000 "
12,Jordan Greenway,us,F,25,"$2,500,000 "
29,Vinnie Hinostroza,us,F,28,"$1,700,000 "
10,Henri Jokiharju,fi,D,23,"$2,500,000 "
17,Tyson Jost,ca,F,24,"$2,250,000 "
19,Peyton Krebs,ca,F,22,"$832,500 "
27,Devon Levi,ca,G,21,"$832,500 "
1,Ukko-Pekka Luukkonen,fi,G,23,"$750,000 "
46,Ilya Lyubushkin,ru,D,28,"$2,750,000 "
37,Casey Mittelstadt,us,F,24,"$2,500,000 "
21,Kyle Okposo,us,F,34,"$4,000,000 "
71,Victor Olofsson,se,F,27,"$4,750,000 "
77,JJ Peterka,de,F,21,"$750,000 "
25,Owen Power,ca,D,20,"$832,500 "
22,Jack Quinn,ca,F,21,"$832,500 "
13,Lukas Rousek,cz,F,23,"$70,000 "
23,Mattias Samuelsson,us,D,22,"$832,500 "
53,Jeff Skinner,ca,F,30,"$2,500,000 "
61,Riley Stillman,ca,D,24,"$1,350,000 "
72,Tage Thompson,us,F,25,"$1,600,000 "
89,Alex Tuch,us,F,26,"$4,750,000 "
