No.,Player Name,Country,Position,Age,Salary
20,Sebastian Aho,fi,F,25,"$750,000 "
31,Frederik Andersen,dk,G,33,"$5,000,000 "
8,Brent Burns,ca,D,37,"$1,980,000 "
5,Jalen Chatfield,us,D,26,"$750,000 "
15,Dylan Coghlan,ca,D,24,"$775,000 "
44,Calvin de Haan,ca,D,31,"$850,000 "
18,Jack Drury,us,F,22,"$832,500 "
71,Jesper Fast,se,F,31,"$3,000,000 "
41,Shayne Gostisbehere,us,D,29,"$1,000,000 "
24,Seth Jarvis,ca,F,20,"$832,500 "
52,Pyotr Kochetkov,ru,G,23,"$750,000 "
82,Jesperi Kotkaniemi,fi,F,22,"$4,000,000 "
42,Maxime Lajoie,ca,D,25,"$750,000 "
28,Mackenzie MacEachern,us,F,28,"$750,000 "
48,Jordan Martinook,ca,F,30,"$1,800,000 "
88,Martin Necas,cz,F,24,"$2,500,000 "
23,Stefan Noesen,us,F,29,"$750,000 "
22,Brett Pesce,us,D,28,"$4,025,000 "
92,Vasiliy Ponomarev,ru,F,20,"$1,000,000 "
13,Jesse Puljujarvi,se,F,24,"$3,000,000 "
32,Antti Raanta,fi,G,33,"$2,250,000 "
81,Jamieson Rees,ca,F,21,"$750,000 "
36,Zach Sawchenko,ca,G,25,"$1,000,000 "
76,Brady Skjei,us,D,28,"$5,400,000 "
74,Jaccob Slavin,us,D,28,"$5,500,000 "
11,Jordan Staal,ca,F,34,"$6,000,000 "
26,Paul Stastny,ca,F,37,"$1,500,000 "
21,Derek Stepan,us,F,32,"$750,000 "
61,Ryan Suzuki,ca,F,21,"$832,500 "
86,Teuvo Teravainen,fi,F,28,"$4,750,000 "
