No.,Player Name,Country,Position,Age,Salary
39,Tyler Angle,ca,F,22,"$70,000 "
15,Gavin Bayreuther,us,D,28,"$750,000 "
52,Emil Bemstrom,se,F,23,"$900,000 "
75,Tim Berni,ch,D,22,"$832,500 "
77,Nick Blankenburg,us,D,24,"$800,000 "
27,Adam Boqvist,se,D,22,"$2,000,000 "
19,Liam Foudy,ca,F,22,"$750,000 "
13,Johnny Gaudreau,us,F,29,"$7,750,000 "
32,Jon Gillies,us,G,29,"$150,000 "
44,Erik Gudbranson,ca,D,31,"$5,000,000 "
31,Michael Hutchinson,ca,G,32,"$400,000 "
38,Boone Jenner,ca,F,29,"$3,750,000 "
91,Kent Johnson,ca,F,20,"$832,500 "
62,Samuel Knazko,sk,D,20,"$80,000 "
7,Sean Kuraly,us,F,30,"$2,750,000 "
29,Patrik Laine,fi,F,24,"$5,500,000 "
46,Joona Luoto,fi,F,25,"$300,000 "
86,Kirill Marchenko,ru,F,22,"$832,500 "
41,Hunter McKown,us,F,20,"$82,500 "
90,Elvis Merzlikins,lv,G,28,"$5,250,000 "
24,Mathieu Olivier,us,F,25,"$750,000 "
18,Lane Pederson,ca,F,25,"$750,000 "
2,Andrew Peeke,us,D,24,"$825,000 "
82,Mikael Pyyhtia,fi,F,21,"$80,000 "
50,Eric Robinson,us,F,27,"$1,500,000 "
96,Jack Roslovic,us,F,26,"$4,000,000 "
81,Stanislav Svozil,cz,D,20,"$80,000 "
6,Billy Sweezey,us,D,26,"$100,000 "
3,Dmitri Voronkov,ru,F,22,"$1,000,000 "
