No.,Player Name,Country,Position,Age,Salary
4,Rasmus Andersson,se,D,26,"$4,550,000 "
11,Mikael Backlund,se,F,33,"$5,350,000 "
20,Blake Coleman,us,F,31,"$4,900,000 "
39,Matt Coronato,us,F,20,"$1,000,000 "
29,Dillon Dube,ca,F,24,"$2,300,000 "
48,Dennis Gilbert,us,D,26,"$750,000 "
55,Noah Hanifin,us,D,26,"$4,950,000 "
10,Jonathan Huberdeau,ca,F,29,"$4,200,000 "
91,Nazem Kadri,ca,F,32,"$4,500,000 "
22,Trevor Lewis,us,F,36,"$800,000 "
28,Elias Lindholm,se,F,28,"$3,850,000 "
17,Milan Lucic,ca,F,34,"$875,000 "
88,Andrew Mangiapane,ca,F,26,"$4,800,000 "
25,Jacob Markstrom,se,G,33,"$8,000,000 "
27,Nick Ritchie,ca,F,27,"$3,300,000 "
63,Adam Ruzicka,sk,F,23,"$750,000 "
51,Troy Stecher,ca,D,28,"$1,250,000 "
26,Michael Stone,ca,D,32,"$750,000 "
8,Chris Tanev,ca,D,33,"$4,500,000 "
73,Tyler Toffoli,ca,F,30,"$5,125,000 "
80,Daniel Vladar,cz,G,25,"$800,000 "
52,MacKenzie Weegar,ca,D,29,"$4,750,000 "
16,Nikita Zadorov,ru,D,27,"$3,750,000 "
