No.,Player Name,Country,Position,Age,Salary
89,Andreas Athanasiou,ca,F,28,"$3,000,000 "
24,Anders Bjork,us,F,26,"$1,800,000 "
17,Jason Dickinson,ca,F,27,"$2,700,000 "
28,Andreas Englund,se,D,27,"$750,000 "
58,MacKenzie Entwistle,ca,F,23,"$750,000 "
52,Reese Johnson,ca,F,24,"$750,000 "
90,Tyler Johnson,us,F,32,"$3,750,000 "
82,Caleb Jones,us,D,25,"$1,350,000 "
4,Seth Jones,us,D,28,"$750,000 "
44,Wyatt Kaiser,us,D,20,"$80,000 "
14,Boris Katchouk,ca,F,24,"$750,000 "
16,Jujhar Khaira,ca,F,28,"$1,000,000 "
23,Philipp Kurashev,ch,F,23,"$750,000 "
51,Ian Mitchell,ca,D,24,"$832,500 "
34,Petr Mrazek,cs,G,30,"$4,200,000 "
5,Connor Murphy,us,D,29,"$3,000,000 "
11,Taylor Raddysh,ca,F,24,"$750,000 "
32,Alex Stalock,us,G,35,"$750,000 "
25,Jarred Tinordi,us,D,30,"$950,000 "
19,Jonathan Toews,ca,F,34,"$2,900,000 "
26,Austin Wagner,ca,F,25,"$1,400,000 "
22,Nikita Zaitsev,su,D,31,"$2,500,000 "
