No.,Player Name,Country,Position,Age,Salary
4,Bowen Byram,ca,D,21,"$832,500 "
11,Andrew Cogliano,ca,F,35,"$1,250,000 "
37,J.T. Compher,us,F,27,"$3,500,000 "
20,Lars Eller,dk,F,33,"$2,070,000 "
39,Pavel Francouz,cs,G,32,"$2,250,000 "
40,Alexandar Georgiev,bg,G,26,"$3,600,000 "
49,Samuel Girard,ca,D,24,"$5,000,000 "
43,Darren Helm,ca,F,36,"$1,250,000 "
17,Brad Hunt,ca,D,34,"$400,000 "
6,Erik Johnson,us,D,34,"$6,000,000 "
3,Jack Johnson,us,D,36,"$950,000 "
30,Keith Kinkaid,us,G,33,"$400,000 "
62,Artturi Lehkonen,fi,F,27,"$5,000,000 "
56,Kurtis MacDermid,ca,D,28,"$975,000 "
29,Nathan MacKinnon,ca,F,27,"$6,850,000 "
8,Cale Makar,ca,D,24,"$9,000,000 "
81,Denis Malgin,ch,F,26,"$750,000 "
42,Josh Manson,us,D,31,"$5,500,000 "
59,Ben Meyers,us,F,24,"$80,000 "
18,Alex Newhook,ca,F,22,"$832,500 "
13,Valeri Nichushkin,ru,F,27,"$6,000,000 "
83,Matt Nieto,us,F,30,"$1,000,000 "
25,Logan O'Connor,us,F,26,"$900,000 "
96,Mikko Rantanen,fi,F,26,"$6,000,000 "
9,Evan Rodrigues,ca,F,29,"$2,000,000 "
7,Devon Toews,ca,D,28,"$4,600,000 "
