No.,Player Name,Country,Position,Age,Salary
72,Nick Bjugstad,us,F,30,"$450,000 "
2,Evan Bouchard,ca,D,23,"$832,500 "
86,Philip Broberg,se,D,21,"$832,500 "
36,Jack Campbell,us,G,31,"$3,500,000 "
5,Cody Ceci,ca,D,29,"$3,000,000 "
73,Vincent Desharnais,ca,D,26,"$750,000 "
1,Cam Dineen,us,D,24,"$750,000 "
29,Leon Draisaitl,de,F,27,"$1,000,000 "
14,Mattias Ekholm,se,D,32,"$5,280,000 "
37,Warren Foegele,ca,F,26,"$2,900,000 "
57,James Hamblin,ca,F,23,"$750,000 "
55,Dylan Holloway,ca,F,21,"$832,500 "
18,Zach Hyman,ca,F,30,"$5,100,000 "
26,Mattias Janmark,se,F,30,"$1,250,000 "
91,Evander Kane,ca,F,31,"$750,000 "
76,Philip Kemp,us,D,23,"$750,000 "
21,Klim Kostin,ru,F,23,"$750,000 "
27,Brett Kulak,ca,D,29,"$3,250,000 "
62,Raphael Lavoie,ca,F,22,"$832,500 "
24,Brad Malone,ca,F,33,"$750,000 "
97,Connor McDavid,ca,F,26,"$1,000,000 "
71,Ryan McLeod,ca,F,23,"$798,000 "
80,Markus Niemelainen,fi,D,25,"$750,000 "
93,Ryan Nugent-Hopkins,ca,F,29,"$5,250,000 "
25,Darnell Nurse,ca,D,27,"$12,000,000 "
30,Calvin Pickard,ca,G,30,"$750,000 "
35,Olivier Rodrigue,ca,G,22,"$750,000 "
10,Derek Ryan,us,F,36,"$1,250,000 "
14,Devin Shore,ca,F,28,"$950,000 "
74,Stuart Skinner,ca,G,24,"$750,000 "
56,Kailer Yamamoto,us,F,24,"$2,700,000 "
