No.,Player Name,Country,Position,Age,Salary
16,Aleksander Barkov,fi,F,27,"$1,000,000 "
9,Sam Bennett,ca,F,26,"$3,425,000 "
44,Mike Benning,ca,D,21,"$807,500 "
72,Sergei Bobrovsky,su,G,34,"$6,000,000 "
26,Connor Bunnaman,ca,F,24,"$750,000 "
21,Nick Cousins,ca,F,29,"$750,000 "
22,Zac Dalpe,ca,F,33,"$750,000 "
14,Grigori Denisenko,ru,F,22,"$70,000 "
10,Anthony Duclair,ca,F,27,"$3,000,000 "
5,Aaron Ekblad,ca,D,26,"$2,000,000 "
4,Casey Fitzgerald,us,D,25,"$750,000 "
50,Evan Fitzpatrick,ca,G,25,"$750,000 "
42,Gustav Forsling,se,D,26,"$2,500,000 "
7,Radko Gudas,cs,D,32,"$2,500,000 "
29,Mack Guzda,us,G,22,"$80,000 "
20,Aleksi Heponiemi,fi,F,24,"$100,000 "
3,Matt Kiersted,us,D,24,"$250,000 "
75,Santtu Kinnunen,fi,D,23,"$70,000 "
94,Ryan Lomberg,ca,F,28,"$775,000 "
53,John Ludvig,cz,D,22,"$70,000 "
15,Anton Lundell,fi,F,21,"$832,500 "
27,Eetu Luostarinen,fi,F,24,"$1,500,000 "
34,Alex Lyon,us,G,30,"$750,000 "
28,Josh Mahura,ca,D,24,"$750,000 "
62,Brandon Montour,ca,D,28,"$750,000 "
13,Sam Reinhart,ca,F,27,"$6,000,000 "
54,Givani Smith,ca,F,24,"$750,000 "
12,Eric Staal,ca,F,38,"$750,000 "
18,Marc Staal,ca,D,36,"$750,000 "
19,Matthew Tkachuk,us,F,25,"$1,000,000 "
23,Carter Verhaeghe,ca,F,27,"$2,500,000 "
6,Colin White,us,F,26,"$1,200,000 "
