No.,Player Name,Country,Position,Age,Salary
,,,,,
44,Mikey Anderson,us,D,23,"$1,000,000 "
28,Jaret Anderson-Dolan,ca,F,23,"$750,000 "
17,Lias Andersson,se,F,24,"$750,000 "
33,Viktor Arvidsson,se,F,29,"$4,250,000 "
7,Tobias Bjornfot,se,D,21,"$70,000 "
55,Quinton Byfield,ca,F,20,"$832,500 "
29,Pheonix Copley,us,G,31,"$825,000 "
24,Phillip Danault,ca,F,29,"$2,250,000 "
8,Drew Doughty,ca,D,33,"$7,000,000 "
50,Sean Durzi,ca,D,24,"$1,400,000 "
2,Alexander Edler,se,D,36,"$750,000 "
22,Kevin Fiala,ch,F,26,"$3,250,000 "
1,Vladislav Gavrikov,ru,D,27,"$4,200,000 "
91,Carl Grundstrom,se,F,25,"$1,300,000 "
79,Samuel Helenius,fi,F,20,"$80,000 "
19,Alex Iafallo,us,F,29,"$4,400,000 "
34,Arthur Kaliyev,uz,F,21,"$832,500 "
9,Adrian Kempe,se,F,26,"$4,250,000 "
11,Anze Kopitar,si,F,35,"$7,000,000 "
70,Joonas Korpisalo,fi,G,28,"$1,300,000 "
89,Rasmus Kupari,fi,F,22,"$832,500 "
78,Alex Laferriere,us,F,21,"$80,000 "
47,Andre Lee,se,F,22,"$70,000 "
46,Blake Lizotte,us,F,25,"$1,675,000 "
17,Zack MacEwen,ca,F,26,"$925,000 "
12,Trevor Moore,us,F,27,"$2,250,000 "
57,Jacob Moverare,se,D,24,"$325,000 "
40,Cal Petersen,us,G,28,"$1,000,000 "
38,Francesco Pinelli,ca,F,19,"$80,000 "
3,Matt Roy,us,D,27,"$3,250,000 "
53,Jordan Spence,au,D,21,"$70,000 "
13,Gabriel Vilardi,ca,F,23,"$825,000 "
26,Sean Walker,ca,D,28,"$3,000,000 "
