No.,Player Name,Country,Position,Age,Salary
2,Calen Addison,ca,D,22,"$750,000 "
53,Adam Beckman,ca,F,21,"$70,000 "
12,Matt Boldy,us,F,21,"$1,000,000 "
25,Jonas Brodin,se,D,29,"$5,000,000 "
26,Connor Dewar,ca,F,23,"$750,000 "
21,Brandon Duhaime,us,F,25,"$750,000 "
24,Matt Dumba,ca,D,28,"$1,000,000 "
14,Joel Eriksson Ek,se,F,26,"$3,000,000 "
7,Brock Faber,us,D,20,"$80,000 "
29,Marc-Andre Fleury,ca,G,38,"$3,500,000 "
28,Steven Fogarty,us,F,29,"$350,000 "
17,Marcus Foligno,us,F,31,"$3,100,000 "
89,Frederick Gaudreau,ca,F,29,"$1,400,000 "
33,Alex Goligoski,us,D,37,"$2,000,000 "
32,Filip Gustavsson,se,G,24,"$825,000 "
38,Ryan Hartman,us,F,28,"$2,000,000 "
48,Daemon Hunt,ca,D,20,"$80,000 "
90,Marcus Johansson,se,F,32,"$1,100,000 "
95,Hunter Jones,ca,G,22,"$750,000 "
97,Kirill Kaprizov,ru,F,25,"$10,000,000 "
3,John Klingberg,se,D,30,"$3,500,000 "
31,Zane McIntyre,us,G,30,"$300,000 "
6,Dakota Mermis,us,D,29,"$325,000 "
4,Jon Merrill,us,D,30,"$1,000,000 "
5,Jake Middleton,ca,D,27,"$2,800,000 "
28,Gustav Nyquist,se,F,33,"$2,500,000 "
19,Nic Petan,ca,F,27,"$1,000,000 "
75,Ryan Reaves,ca,F,36,"$1,750,000 "
23,Marco Rossi,at,F,21,"$80,000 "
46,Jared Spurgeon,ca,D,33,"$6,000,000 "
13,Sam Steel,ca,F,24,"$825,000 "
70,Oskar Sundqvist,se,F,28,"$3,000,000 "
72,Nick Swaney,us,F,25,"$120,000 "
74,Sammy Walker,us,F,23,"$80,000 "
30,Jesper Wallstedt,se,G,20,"$80,000 "
36,Mats Zuccarello,no,F,35,"$4,500,000 "
