No.,Player Name,Country,Position,Age,Salary
34,Jake Allen,ca,G,32,"$3,750,000 "
17,Josh Anderson,ca,F,28,"$7,000,000 "
40,Joel Armia,fi,F,29,"$3,000,000 "
52,Justin Barron,ca,D,21,"$832,500 "
60,Alex Belzile,ca,F,31,"$750,000 "
77,Kirby Dach,ca,F,22,"$2,500,000 "
27,Jonathan Drouin,ca,F,27,"$5,500,000 "
28,Christian Dvorak,us,F,26,"$3,450,000 "
44,Joel Edmundson,ca,D,29,"$2,562,500 "
71,Jake Evans,ca,F,26,"$1,700,000 "
57,Sean Farrell,us,F,21,"$807,500 "
11,Brendan Gallagher,ca,F,30,"$6,500,000 "
21,Kaiden Guhle,ca,D,21,"$832,500 "
25,Denis Gurianov,ru,F,25,"$2,900,000 "
54,Jordan Harris,us,D,22,"$750,000 "
68,Mike Hoffman,ca,F,33,"$5,000,000 "
26,Johnathan Kovacevic,ca,D,25,"$750,000 "
8,Michael Matheson,ca,D,28,"$1,000,000 "
35,Sam Montembeault,ca,G,26,"$1,000,000 "
55,Michael Pezzetta,ca,F,24,"$750,000 "
32,Rem Pitlick,ca,F,25,"$1,100,000 "
58,David Savard,ca,D,32,"$4,200,000 "
14,Nick Suzuki,ca,F,23,"$5,999,986 "
67,Chris Tierney,ca,F,28,"$750,000 "
6,Chris Wideman,us,D,33,"$750,000 "
