No.,Player Name,Country,Position,Age,Salary
71,Rasmus Asplund,se,F,25,"$875,000 "
22,Tyson Barrie,ca,D,31,"$4,500,000 "
45,Alexandre Carrier,ca,D,26,"$750,000 "
95,Matt Duchene,ca,F,32,"$4,000,000 "
57,Dante Fabbro,ca,D,24,"$2,400,000 "
52,Cal Foote,us,D,24,"$1,000,000 "
8,Cody Glass,ca,F,23,"$874,125 "
92,Ryan Johansen,ca,F,30,"$8,000,000 "
59,Roman Josi,ch,D,32,"$750,000 "
32,Kevin Lankinen,fi,G,27,"$1,500,000 "
3,Jeremy Lauzon,ca,D,25,"$2,000,000 "
23,Jake Livingstone,us,D,23,"$830,000 "
27,Ryan McDonagh,us,D,33,"$5,460,000 "
82,Thomas Novak,us,F,25,"$750,000 "
75,Juuso Parssinen,fi,F,21,"$750,000 "
74,Juuse Saros,fi,G,27,"$5,000,000 "
10,Colton Sissons,ca,F,29,"$2,775,000 "
36,Cole Smith,us,F,27,"$750,000 "
13,Yakov Trenin,ru,F,26,"$1,700,000 "
