No.,Player Name,Country,Position,Age,Salary
25,Sebastian Aho,se,D,26,"$800,000 "
12,Josh Bailey,ca,F,33,"$3,500,000 "
13,Mathew Barzal,ca,F,25,"$10,000,000 "
1,Samuel Bolduc,ca,D,22,"$800,000 "
53,Casey Cizikas,ca,F,31,"$2,500,000 "
15,Cal Clutterbuck,ca,F,35,"$1,750,000 "
8,Noah Dobson,ca,D,23,"$4,000,000 "
18,Pierre Engvall,se,F,26,"$2,250,000 "
2,Hudson Fasching,us,F,27,"$750,000 "
4,Simon Holmstrom,se,F,21,"$832,500 "
14,Bo Horvat,ca,F,27,"$3,337,500 "
32,Ross Johnston,ca,F,28,"$1,100,000 "
27,Anders Lee,us,F,32,"$5,850,000 "
17,Matt Martin,ca,F,33,"$1,500,000 "
24,Scott Mayfield,us,D,30,"$2,000,000 "
29,Brock Nelson,us,F,31,"$5,200,000 "
44,Jean-Gabriel Pageau,ca,F,30,"$4,500,000 "
21,Kyle Palmieri,us,F,31,"$5,000,000 "
11,Zach Parise,us,F,38,"$750,000 "
3,Adam Pelech,ca,D,28,"$5,750,000 "
6,Ryan Pulock,ca,D,28,"$6,150,000 "
28,Alexander Romanov,ru,D,23,"$2,500,000 "
1,Jakub Skarek,cz,G,23,"$70,000 "
30,Ilya Sorokin,ru,G,27,"$4,000,000 "
40,Semyon Varlamov,su,G,34,"$4,000,000 "
38,Parker Wotherspoon,ca,D,25,"$750,000 "
