No.,Player Name,Country,Position,Age,Salary
72,Filip Chytil,cz,F,23,"$2,600,000 "
23,Adam Fox,us,D,24,"$11,000,000 "
21,Barclay Goodrow,ca,F,29,"$2,500,000 "
41,Jaroslav Halak,cs,G,37,"$1,250,000 "
5,Ben Harpur,ca,D,28,"$750,000 "
24,Kaapo Kakko,fi,F,21,"$1,800,000 "
88,Patrick Kane,us,F,34,"$725,000 "
20,Chris Kreider,us,F,31,"$1,000,000 "
13,Alexis Lafreniere,ca,F,21,"$832,500 "
55,Ryan Lindgren,us,D,24,"$3,000,000 "
77,Niko Mikkola,fi,D,26,"$1,900,000 "
79,K'Andre Miller,us,D,23,"$832,500 "
14,Tyler Motte,us,F,27,"$1,350,000 "
10,Artemi Panarin,su,F,31,"$1,000,000 "
4,Braden Schneider,ca,D,21,"$832,500 "
31,Igor Shesterkin,ru,G,27,"$6,000,000 "
91,Vladimir Tarasenko,ru,F,31,"$2,750,000 "
16,Vincent Trocheck,us,F,29,"$3,000,000 "
8,Jacob Trouba,us,D,28,"$6,000,000 "
26,Jimmy Vesey,us,F,29,"$750,000 "
93,Mika Zibanejad,se,F,29,"$1,000,000 "
