No.,Player Name,Country,Position,Age,Salary
19,Drake Batherson,us,F,24,"$3,500,000 "
26,Erik Brannstrom,se,D,23,"$900,000 "
61,Derick Brassard,ca,F,35,"$750,000 "
38,Patrick Brown,us,F,30,"$750,000 "
72,Thomas Chabot,ca,D,26,"$4,000,000 "
6,Jakob Chychrun,us,D,24,"$4,000,000 "
12,Alex DeBrincat,us,F,25,"$9,000,000 "
27,Dylan Gambrell,us,F,26,"$950,000 "
77,Julien Gauthier,ca,F,25,"$800,000 "
28,Claude Giroux,ca,F,35,"$7,000,000 "
23,Travis Hamonic,ca,D,32,"$2,000,000 "
5,Nick Holden,ca,D,35,"$1,300,000 "
21,Mathieu Joseph,ca,F,25,"$2,500,000 "
47,Mark Kastelic,us,F,23,"$750,000 "
43,Tyler Kleven,us,D,21,"$80,000 "
57,Shane Pinto,us,F,22,"$832,500 "
85,Jake Sanderson,us,D,20,"$832,500 "
18,Tim Stutzle,de,F,21,"$832,500 "
33,Cam Talbot,ca,G,35,"$3,000,000 "
7,Brady Tkachuk,us,F,23,"$6,500,000 "
16,Austin Watson,us,F,31,"$1,500,000 "
2,Artem Zub,ru,D,27,"$3,250,000 "
