No.,Player Name,Country,Position,Age,Salary
57,Wade Allison,ca,F,25,"$750,000 "
20,Kieffer Bellows,us,F,24,"$1,200,000 "
49,Noah Cates,us,F,23,"$832,500 "
77,Tony DeAngelo,us,D,27,"$5,000,000 "
44,Nicolas Deslauriers,ca,F,31,"$1,000,000 "
86,Joel Farabee,us,F,22,"$1,000,000 "
48,Morgan Frost,ca,F,23,"$800,000 "
79,Carter Hart,ca,G,24,"$3,600,000 "
13,Kevin Hayes,us,F,30,"$3,750,000 "
11,Travis Konecny,ca,F,25,"$3,750,000 "
58,Tanner Laczynski,us,F,25,"$750,000 "
21,Scott Laughton,ca,F,28,"$2,500,000 "
22,Brendan Lemieux,us,F,26,"$1,350,000 "
9,Ivan Provorov,ru,D,26,"$2,750,000 "
55,Rasmus Ristolainen,fi,D,28,"$4,000,000 "
32,Felix Sandstrom,se,G,26,"$750,000 "
6,Travis Sanheim,ca,D,26,"$5,350,000 "
24,Nick Seeler,us,D,29,"$750,000 "
74,Owen Tippett,ca,F,23,"$1,250,000 "
25,James van Riemsdyk,us,F,33,"$4,000,000 "
45,Cam York,us,D,22,"$1,000,000 "
