No.,Player Name,Country,Position,Age,Salary
15,Josh Archibald,ca,F,30,"$900,000 "
77,Jeff Carter,ca,F,38,"$3,250,000 "
87,Sidney Crosby,ca,F,35,"$3,000,000 "
1,Casey DeSmith,us,G,31,"$1,700,000 "
8,Brian Dumoulin,us,D,31,"$4,100,000 "
64,Mikael Granlund,fi,F,30,"$5,000,000 "
59,Jake Guentzel,us,F,28,"$5,000,000 "
43,Danton Heinen,ca,F,27,"$1,000,000 "
35,Tristan Jarry,ca,G,27,"$4,500,000 "
73,Pierre-Olivier Joseph,ca,D,23,"$800,000 "
7,Dmitry Kulikov,su,D,32,"$1,125,000 "
58,Kris Letang,ca,D,35,"$4,000,000 "
71,Evgeni Malkin,su,F,36,"$4,000,000 "
19,Alex Nylander,ca,F,24,"$750,000 "
10,Drew O'Connor,us,F,24,"$750,000 "
26,Jeff Petry,us,D,35,"$4,500,000 "
28,Marcus Pettersson,se,D,26,"$4,025,175 "
25,Ryan Poehling,us,F,24,"$750,000 "
67,Rickard Rakell,se,F,29,"$6,000,000 "
2,Chad Ruhwedel,us,D,32,"$800,000 "
17,Bryan Rust,us,F,30,"$6,100,000 "
44,Jan Rutta,cs,D,32,"$3,250,000 "
16,Jason Zucker,us,F,31,"$5,200,000 "
