No.,Player Name,Country,Position,Age,Salary
10,Matty Beniers,us,F,20,"$832,500 "
22,Oliver Bjorkstrand,dk,F,27,"$5,250,000 "
3,Will Borgen,us,D,26,"$900,000 "
9,Ryan Donato,us,F,26,"$1,200,000 "
60,Chris Driedger,ca,G,28,"$3,500,000 "
29,Vince Dunn,ca,D,26,"$4,000,000 "
7,Jordan Eberle,ca,F,32,"$4,750,000 "
57,Jagger Firkus,ca,F,18,"$1,000,000 "
8,Cale Fleury,ca,D,24,"$750,000 "
38,Jesper Froden,se,F,28,"$750,000 "
67,Morgan Geekie,ca,F,24,"$1,400,000 "
37,Yanni Gourde,ca,F,31,"$4,100,000 "
31,Philipp Grubauer,de,G,31,"$6,250,000 "
30,Martin Jones,ca,G,33,"$2,000,000 "
52,Tye Kartye,ca,F,21,"$750,000 "
6,Adam Larsson,se,D,30,"$3,500,000 "
19,Jared McCann,ca,F,26,"$5,000,000 "
44,Jaycob Megna,us,D,30,"$750,000 "
24,Jamie Oleksiak,ca,D,30,"$4,250,000 "
4,Justin Schultz,ca,D,32,"$3,000,000 "
17,Jaden Schwartz,ca,F,30,"$6,000,000 "
28,Carson Soucy,ca,D,28,"$3,500,000 "
91,Daniel Sprong,nl,F,25,"$750,000 "
13,Brandon Tanev,ca,F,31,"$2,500,000 "
20,Eeli Tolvanen,fi,F,23,"$1,450,000 "
21,Alexander Wennberg,se,F,28,"$5,000,000 "
