No.,Player Name,Country,Position,Age,Salary
94,Alexander Barabanov,ru,F,28,"$1,500,000 "
5,Matt Benning,ca,D,28,"$1,000,000 "
39,Logan Couture,ca,F,33,"$4,000,000 "
41,Kyle Criscuolo,us,F,30,"$190,000 "
38,Mario Ferraro,ca,D,24,"$2,250,000 "
73,Noah Gregor,ca,F,24,"$950,000 "
48,Tomas Hertl,cz,F,29,"$5,750,000 "
18,Andreas Johnsson,se,F,28,"$750,000 "
36,Kaapo Kahkonen,fi,G,26,"$2,600,000 "
65,Erik Karlsson,se,D,32,"$2,000,000 "
71,Nikolai Knyzhov,ru,D,24,"$750,000 "
62,Kevin Labanc,us,F,27,"$5,875,000 "
23,Oskar Lindblom,se,F,26,"$2,500,000 "
9,Steven Lorentz,ca,F,26,"$950,000 "
16,Jacob MacDonald,us,D,29,"$750,000 "
40,Jacob Peterson,se,F,23,"$750,000 "
47,James Reimer,ca,G,34,"$2,750,000 "
51,Radim Simek,cs,D,30,"$1,650,000 "
7,Nico Sturm,de,F,27,"$2,000,000 "
10,Evgeny Svechnikov,ru,F,26,"$750,000 "
3,Henry Thrun,us,D,21,"$807,500 "
63,Jeffrey Viel,ca,F,26,"$750,000 "
44,Marc-Edouard Vlasic,ca,D,35,"$5,000,000 "
20,Fabian Zetterlund,se,F,23,"$750,000 "
