No.,Player Name,Country,Position,Age,Salary
50,Jordan Binnington,ca,G,29,"$6,000,000 "
79,Sammy Blais,ca,F,26,"$1,000,000 "
41,Robert Bortuzzo,ca,D,33,"$950,000 "
22,Logan Brown,us,F,24,"$750,000 "
89,Pavel Buchnevich,ru,F,27,"$5,500,000 "
72,Justin Faulk,us,D,30,"$5,850,000 "
1,Thomas Greiss,de,G,37,"$1,250,000 "
42,Kasperi Kapanen,fi,F,26,"$3,200,000 "
47,Torey Krug,us,D,31,"$8,000,000 "
25,Jordan Kyrou,ca,F,24,"$3,200,000 "
4,Nick Leddy,us,D,31,"$5,000,000 "
17,Josh Leivo,ca,F,29,"$750,000 "
1,Leo Loof,se,D,20,"$1,000,000 "
63,Jake Neighbours,ca,F,20,"$750,000 "
55,Colton Parayko,ca,D,29,"$7,250,000 "
9,Tyler Pitlick,us,F,31,"$750,000 "
43,Calle Rosen,se,D,28,"$750,000 "
20,Brandon Saad,us,F,30,"$4,500,000 "
6,Marco Scandella,ca,D,32,"$3,850,000 "
10,Brayden Schenn,ca,F,31,"$5,200,000 "
18,Robert Thomas,ca,F,23,"$3,200,000 "
13,Alexey Toropchenko,ru,F,23,"$750,000 "
15,Jakub Vrana,cz,F,26,"$2,625,000 "
26,Nathan Walker,gb,F,28,"$750,000 "
