No.,Player Name,Country,Position,Age,Salary
41,Pierre-Edouard Bellemare,fr,F,37,"$1,000,000 "
24,Zach Bogosian,us,D,32,"$750,000 "
81,Erik Cernak,sk,D,25,"$4,425,000 "
71,Anthony Cirelli,ca,F,25,"$7,200,000 "
28,Ian Cole,us,D,33,"$2,500,000 "
79,Ross Colton,us,F,26,"$1,250,000 "
1,Brian Elliott,ca,G,37,"$900,000 "
23,Mikey Eyssimont,us,F,26,"$750,000 "
7,Haydn Fleury,ca,D,26,"$750,000 "
38,Brandon Hagel,ca,F,24,"$1,450,000 "
77,Victor Hedman,se,D,32,"$5,000,000 "
84,Tanner Jeannot,ca,F,25,"$850,000 "
17,Alex Killorn,ca,F,33,"$4,450,000 "
86,Nikita Kucherov,ru,F,29,"$4,000,000 "
14,Pat Maroon,us,F,34,"$1,000,000 "
20,Nicholas Paul,ca,F,27,"$1,000,000 "
48,Nick Perbix,us,D,24,"$1,000,000 "
10,Corey Perry,ca,F,37,"$1,000,000 "
21,Brayden Point,ca,F,26,"$3,500,000 "
43,Darren Raddysh,ca,D,26,"$750,000 "
98,Mikhail Sergachev,ru,D,24,"$7,200,000 "
91,Steven Stamkos,ca,F,32,"$1,000,000 "
88,Andrei Vasilevskiy,ru,G,28,"$4,500,000 "
