No.,Player Name,Country,Position,Age,Salary
88,Nils Aman,se,F,22,"$750,000 "
74,Ethan Bear,ca,D,25,"$1,800,000 "
72,Anthony Beauvillier,ca,F,25,"$4,150,000 "
6,Brock Boeser,us,F,25,"$6,650,000 "
55,Guillaume Brisebois,ca,D,25,"$750,000 "
44,Kyle Burroughs,ca,D,27,"$750,000 "
60,Collin Delia,us,G,28,"$750,000 "
35,Thatcher Demko,us,G,27,"$3,500,000 "
34,Phillip Di Giuseppe,ca,F,29,"$750,000 "
15,Sheldon Dries,us,F,28,"$750,000 "
8,Conor Garland,us,F,26,"$4,000,000 "
36,Akito Hirose,ca,D,23,"$82,500 "
36,Akito Hirose,ca,D,23,"$82,500 "
17,Filip Hronek,cz,D,25,"$4,500,000 "
43,Quinn Hughes,us,D,23,"$6,500,000 "
81,Dakota Joshua,us,F,26,"$750,000 "
1,Vitali Kravtsov,ru,F,23,"$800,000 "
96,Andrei Kuzmenko,ru,F,26,"$855,000 "
25,Aidan McDonough,us,F,23,"$70,000 "
48,Cole McWard,us,D,21,"$82,500 "
9,J.T. Miller,us,F,29,"$4,500,000 "
57,Tyler Myers,us,D,32,"$5,000,000 "
40,Elias Pettersson,se,F,24,"$7,800,000 "
40,Elias Pettersson,se,F,24,"$1,000,000 "
92,Vasily Podkolzin,ru,F,21,"$832,500 "
2,Jack Studnicka,ca,F,23,"$750,000 "
