No.,Player Name,Country,Position,Age,Salary
22,Michael Amadio,ca,F,26,"$750,000 "
49,Ivan Barbashev,ru,F,27,"$2,600,000 "
53,Teddy Blueger,lv,F,28,"$2,400,000 "
24,Brendan Brisson,us,F,21,"$80,000 "
39,Laurent Brossoit,ca,G,29,"$3,000,000 "
28,William Carrier,ca,F,28,"$1,750,000 "
40,Lukas Cormier,ca,D,20,"$80,000 "
43,Paul Cotter,us,F,23,"$750,000 "
16,Pavel Dorofeyev,ru,F,22,"$832,500 "
9,Jack Eichel,us,F,26,"$2,500,000 "
51,Byron Froese,ca,F,31,"$450,000 "
14,Nicolas Hague,ca,D,24,"$750,000 "
33,Adin Hill,ca,G,26,"$2,675,000 "
21,Brett Howden,ca,F,24,"$1,500,000 "
17,Ben Hutton,ca,D,29,"$800,000 "
71,William Karlsson,se,F,30,"$5,900,000 "
8,Phil Kessel,us,F,35,"$1,500,000 "
55,Keegan Kolesar,ca,F,25,"$1,400,000 "
6,Kaedan Korczak,ca,D,22,"$750,000 "
81,Jonathan Marchessault,ca,F,32,"$3,500,000 "
23,Alec Martinez,us,D,35,"$4,250,000 "
3,Brayden McNabb,ca,D,32,"$1,600,000 "
11,Ivan Morozov,ru,F,22,"$70,000 "
94,Brayden Pachal,ca,D,23,"$750,000 "
30,Jiri Patera,cz,G,23,"$70,000 "
7,Alex Pietrangelo,ca,D,33,"$1,000,000 "
32,Jonathan Quick,us,G,37,"$1,250,000 "
46,Jonas Rondbjerg,dk,F,23,"$125,000 "
10,Nicolas Roy,ca,F,25,"$3,500,000 "
19,Reilly Smith,ca,F,31,"$3,750,000 "
20,Chandler Stephenson,ca,F,28,"$3,125,000 "
61,Mark Stone,ca,F,30,"$1,000,000 "
27,Shea Theodore,ca,D,27,"$5,200,000 "
36,Logan Thompson,ca,G,25,"$750,000 "
2,Zach Whitecloud,ca,D,26,"$1,000,000 "
