No.,Player Name,Country,Position,Age,Salary
27,Alexander Alexeyev,ru,D,23,"$832,500 "
96,Nicolas Aube-Kubel,ca,F,26,"$750,000 "
19,Nicklas Backstrom,se,F,35,"$3,000,000 "
74,John Carlson,us,D,33,"$4,000,000 "
97,Reid Cooper,ca,G,24,"$1,000,000 "
26,Nic Dowd,us,F,32,"$1,600,000 "
42,Martin Fehervary,sk,D,23,"$832,500 "
1,Hardy Haman Aktell,se,D,24,"$1,000,000 "
52,Matt Irwin,ca,D,35,"$750,000 "
3,Nick Jensen,us,D,32,"$2,000,000 "
35,Darcy Kuemper,ca,G,32,"$4,000,000 "
92,Evgeny Kuznetsov,ru,F,30,"$3,000,000 "
79,Charlie Lindgren,us,G,29,"$1,200,000 "
39,Anthony Mantha,ca,F,28,"$6,500,000 "
15,Sonny Milano,us,F,26,"$750,000 "
77,T.J. Oshie,us,F,36,"$2,500,000 "
8,Alex Ovechkin,su,F,37,"$1,000,000 "
38,Rasmus Sandin,se,D,22,"$750,000 "
73,Conor Sheary,us,F,30,"$1,750,000 "
16,Craig Smith,us,F,33,"$4,300,000 "
17,Dylan Strome,ca,F,25,"$3,500,000 "
57,Trevor van Riemsdyk,us,D,31,"$1,000,000 "
43,Tom Wilson,ca,F,28,"$2,100,000 "
